Model,Accuracy (Train),Accuracy (Test)
SVM (Vanilla),0.7823905681675656,0.6228693181818182
SGDC (Vanilla),0.7387432584974288,0.6129261363636364
Multinomial Bayes (Vanilla),0.6833061582842092,0.6193181818181818
